assignment_id,engagement_id,consultant_id,role,allocation_pct,hours_billed
ASN-0001,ENG-001,CON-004,Engagement Partner,26,1333
ASN-0002,ENG-001,CON-033,Consultant,84,702
ASN-0003,ENG-001,CON-030,Data Engineer,93,763
ASN-0004,ENG-001,CON-028,ML Engineer,92,755
ASN-0005,ENG-001,CON-013,Workstream Lead,84,663
ASN-0006,ENG-001,CON-016,Workstream Lead,87,821
ASN-0007,ENG-001,CON-007,Delivery Lead,60,516
ASN-0008,ENG-002,CON-004,Engagement Partner,23,521
ASN-0009,ENG-002,CON-011,Delivery Lead,87,372
ASN-0010,ENG-002,CON-026,Senior Consultant,88,607
ASN-0011,ENG-002,CON-009,Delivery Lead,71,383
ASN-0012,ENG-003,CON-002,Engagement Partner,24,790
ASN-0013,ENG-003,CON-037,Analyst,83,739
ASN-0014,ENG-003,CON-004,Analyst,94,921
ASN-0015,ENG-003,CON-028,Data Engineer,80,652
ASN-0016,ENG-004,CON-002,Engagement Partner,15,496
ASN-0017,ENG-004,CON-020,Senior Consultant,82,479
ASN-0018,ENG-004,CON-013,Workstream Lead,96,365
ASN-0019,ENG-004,CON-007,Delivery Lead,94,559
ASN-0020,ENG-004,CON-005,Delivery Lead,68,382
ASN-0021,ENG-004,CON-022,Data Engineer,85,374
ASN-0022,ENG-004,CON-037,Analyst,98,479
ASN-0023,ENG-005,CON-001,Engagement Partner,21,1602
ASN-0024,ENG-005,CON-026,Data Engineer,94,1062
ASN-0025,ENG-005,CON-020,Senior Consultant,82,1083
ASN-0026,ENG-005,CON-030,Data Engineer,97,1189
ASN-0027,ENG-005,CON-033,Consultant,80,869
ASN-0028,ENG-006,CON-004,Engagement Partner,22,662
ASN-0029,ENG-006,CON-013,Workstream Lead,86,596
ASN-0030,ENG-006,CON-011,Delivery Lead,91,621
ASN-0031,ENG-006,CON-020,Senior Consultant,98,844
ASN-0032,ENG-007,CON-002,Engagement Partner,30,695
ASN-0033,ENG-007,CON-039,Analyst,87,346
ASN-0034,ENG-007,CON-020,Solution Architect,94,500
ASN-0035,ENG-007,CON-030,Consultant,100,563
ASN-0036,ENG-007,CON-011,Delivery Lead,66,212
ASN-0037,ENG-008,CON-004,Engagement Partner,18,969
ASN-0038,ENG-008,CON-001,Analyst,77,711
ASN-0039,ENG-008,CON-030,Consultant,94,1052
ASN-0040,ENG-008,CON-022,Data Engineer,83,572
ASN-0041,ENG-008,CON-039,Analyst,94,1067
ASN-0042,ENG-008,CON-009,Delivery Lead,65,771
ASN-0043,ENG-009,CON-004,Engagement Partner,20,459
ASN-0044,ENG-009,CON-028,Consultant,85,369
ASN-0045,ENG-009,CON-001,Analyst,84,338
ASN-0046,ENG-009,CON-016,Workstream Lead,95,521
ASN-0047,ENG-009,CON-027,Solution Architect,93,487
ASN-0048,ENG-010,CON-002,Engagement Partner,19,264
ASN-0049,ENG-010,CON-004,Analyst,63,140
ASN-0050,ENG-010,CON-011,Delivery Lead,92,243
ASN-0051,ENG-010,CON-033,Data Engineer,85,132
ASN-0052,ENG-010,CON-013,Workstream Lead,86,136
ASN-0053,ENG-010,CON-037,Analyst,71,111
ASN-0054,ENG-010,CON-001,Analyst,64,149
ASN-0055,ENG-011,CON-001,Engagement Partner,27,701
ASN-0056,ENG-011,CON-002,Analyst,97,566
ASN-0057,ENG-011,CON-007,Delivery Lead,80,567
ASN-0058,ENG-011,CON-013,Workstream Lead,76,470
ASN-0059,ENG-011,CON-039,Analyst,80,379
ASN-0060,ENG-012,CON-004,Engagement Partner,19,504
ASN-0061,ENG-012,CON-009,Delivery Lead,60,214
ASN-0062,ENG-012,CON-027,Data Engineer,83,226
ASN-0063,ENG-012,CON-011,Delivery Lead,73,268
ASN-0064,ENG-012,CON-030,Consultant,91,409
ASN-0065,ENG-012,CON-016,Workstream Lead,98,304
ASN-0066,ENG-012,CON-013,Workstream Lead,79,230
ASN-0067,ENG-013,CON-001,Engagement Partner,15,604
ASN-0068,ENG-013,CON-039,Analyst,76,379
ASN-0069,ENG-013,CON-013,Workstream Lead,73,543
ASN-0070,ENG-013,CON-012,Workstream Lead,74,415
ASN-0071,ENG-013,CON-030,Data Engineer,86,631
ASN-0072,ENG-013,CON-009,Delivery Lead,73,528
ASN-0073,ENG-014,CON-002,Engagement Partner,30,166
ASN-0074,ENG-014,CON-011,Delivery Lead,62,42
ASN-0075,ENG-014,CON-016,Workstream Lead,94,71
ASN-0076,ENG-014,CON-022,Solution Architect,85,94
ASN-0077,ENG-014,CON-028,Data Engineer,93,93
ASN-0078,ENG-014,CON-030,Consultant,82,101
ASN-0079,ENG-015,CON-002,Engagement Partner,16,171
ASN-0080,ENG-015,CON-039,Analyst,62,110
ASN-0081,ENG-015,CON-028,Consultant,91,151
ASN-0082,ENG-015,CON-027,Senior Consultant,83,152
ASN-0083,ENG-015,CON-012,Workstream Lead,87,216
ASN-0084,ENG-016,CON-002,Engagement Partner,19,214
ASN-0085,ENG-016,CON-013,Workstream Lead,75,127
ASN-0086,ENG-016,CON-011,Delivery Lead,81,141
ASN-0087,ENG-016,CON-037,Analyst,86,151
ASN-0088,ENG-016,CON-030,Data Engineer,87,111
ASN-0089,ENG-016,CON-012,Workstream Lead,95,158
