proposal_id,client_id,client_name,proposal_name,industry,service_line,submitted_date,proposed_value_usd,status,decision_date,primary_competitor,win_loss_reason,partner_lead_id,partner_lead_name,resulting_engagement_id
PROP-001,CLI-001,Apex Financial Group,Enterprise Data Platform & AI Risk Analytics,Financial Services,Data & AI Advisory,2023-12-16,1800000,Won,2024-02-18,West Monroe,Strong case study match,CON-004,Amara Diallo,ENG-001
PROP-002,CLI-001,Apex Financial Group,Credit Risk Model Refresh,Financial Services,Data & AI Advisory,2024-09-29,650000,Won,2024-10-30,West Monroe,Faster proposal turnaround,CON-004,Amara Diallo,ENG-002
PROP-003,CLI-001,Apex Financial Group,Regulatory Reporting Modernization,Financial Services,Technology Implementation,2025-07-04,1100000,Won,2025-08-31,Accenture,Named team with prior relationship,CON-002,Tariq Osei,ENG-003
PROP-004,CLI-002,First Republic Advisors,Azure Cloud Migration,Financial Services,Technology Implementation,2024-03-11,1200000,Won,2024-05-16,Accenture,Industry expertise depth,CON-002,Tariq Osei,ENG-004
PROP-005,CLI-003,Commonwealth Insurance Group,Post-Merger Tech Integration,Financial Services,Technology Implementation,2023-11-27,2100000,Won,2023-12-31,Protiviti,Industry expertise depth,CON-001,Helen Marsh,ENG-005
PROP-006,CLI-003,Commonwealth Insurance Group,Claims Analytics Platform,Financial Services,Data & AI Advisory,2025-05-29,980000,Won,2025-07-27,Accenture,Named team with prior relationship,CON-004,Amara Diallo,ENG-006
PROP-007,CLI-004,Pinnacle Credit Union,Data Strategy & Analytics Modernization,Financial Services,Data & AI Advisory,2024-08-05,650000,Won,2024-09-02,Capgemini,Existing relationship / trusted advisor,CON-002,Tariq Osei,ENG-007
PROP-008,CLI-005,Trident Capital Markets,Trading Platform Modernization,Financial Services,Technology Implementation,2024-04-23,1600000,Won,2024-05-28,West Monroe,Strong case study match,CON-004,Amara Diallo,ENG-008
PROP-009,CLI-005,Trident Capital Markets,Risk Data Lake Build,Financial Services,Data & AI Advisory,2025-08-04,820000,Won,2025-09-25,Capgemini,Named team with prior relationship,CON-004,Amara Diallo,ENG-009
PROP-010,CLI-006,Beacon State Bank,Digital Banking Strategy,Financial Services,Strategy & Transformation,2024-03-07,480000,Won,2024-04-12,Boutique AI Firm,Faster proposal turnaround,CON-002,Tariq Osei,ENG-010
